name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New york,2025-05-04T00:00:00,65,65,58.7,79.89,0.006,100,rain,0,0,11,5.1,125,1012.2,93.1,8.8,0,0,0,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T01:00:00,64.5,64.5,58,79.35,0,0,,0,0,11.6,7.5,125,1012.5,88.9,8.5,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T02:00:00,63.3,63.3,56.7,79.02,0,0,,0,0,11.4,7.6,135,1012.2,74,8,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T03:00:00,63.1,63.1,56.1,77.84,0,0,,0,0,11.4,5.4,131,1012,88.9,9.2,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T04:00:00,63.3,63.3,56.5,78.35,0,0,,0,0,12.1,5.1,44,1011.5,65.3,9.2,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T05:00:00,62.7,62.7,55.8,78.41,0,0,,0,0,12.1,6.6,123,1011.8,65.3,9.5,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T06:00:00,61.3,61.3,56.3,83.84,0,0,,0,0,11.2,6.7,160,1011.8,54.9,8.9,11,0,0,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T07:00:00,61.7,61.7,57,84.39,0,0,,0,0,12.3,6.9,166,1012.6,54.9,8.5,53,0.2,1,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T08:00:00,63.9,63.9,57.7,80.23,0,0,,0,0,13.2,6.3,163,1012.8,68.3,8,141,0.5,1,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T09:00:00,65,65,57.5,76.76,0,0,,0,0,14.8,6.9,173,1013.1,88.9,8,296,1.1,3,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T10:00:00,65.7,65.7,57.2,73.81,0,0,,0,0,18.6,7.2,166,1013.2,81.7,8.4,515,1.9,5,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T11:00:00,68.6,68.6,57.7,68.27,0,0,,0,0,17.7,11.4,166,1013.3,88.9,8.4,394,1.4,4,,Partially cloudy,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T12:00:00,67.8,67.8,57.1,68.61,0,0,,0,0,32.2,8.5,125,1013.3,93.1,8.4,211,0.8,2,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T13:00:00,66.2,66.2,60.7,82.3,0.024,100,rain,0,0,18.8,8.4,176,1013,98.2,5.3,290,1,3,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T14:00:00,66.8,66.8,62.2,85.17,0.013,100,rain,0,0,27,13.3,176,1013.1,85.6,8.3,365,1.3,4,,"Rain, Partially cloudy",rain,"72505394728,KJFK,KLGA,F8726,KNYC,72503014732"
New york,2025-05-04T15:00:00,65.6,65.6,60.2,82.7,0,0,,0,0,26.4,12,180,1013.1,98.2,7.6,135,0.5,1,,Overcast,cloudy,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New york,2025-05-04T16:00:00,64.2,64.2,58.8,82.53,0.005,100,rain,0,0,18.8,8.5,170,1013.2,97.4,6.2,115,0.4,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,F8726,KNYC,72503014732"
New york,2025-05-04T17:00:00,63.5,63.5,58.8,84.5,0.039,100,rain,0,0,20.6,6.1,125,1013.4,100,6.3,115,0.4,1,,"Rain, Overcast",rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
